s,C,C,C,C
Time,"T couch1","T couch2","T air 1","T air 3"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0104618E+000, 2.0015455E+001, 2.0008501E+001, 2.0004964E+001, 2.0001742E+001
 2.0022541E+000, 1.0179837E+002, 8.9821316E+001, 4.0868988E+001, 2.0093564E+001
 3.0046794E+000, 8.1126398E+001, 7.0663275E+001, 1.3443035E+002, 2.2308220E+001
 4.0050064E+000, 9.1431123E+001, 1.0743722E+002, 2.6363700E+002, 9.3365520E+001
 5.0059994E+000, 1.1277130E+002, 1.0835590E+002, 2.1590305E+002, 1.4762885E+002
 6.0075637E+000, 1.2677162E+002, 1.0422100E+002, 1.5929496E+002, 1.6605922E+002
 7.0047143E+000, 1.5812997E+002, 2.1999714E+002, 3.0321606E+002, 1.4944894E+002
 8.0063010E+000, 1.8595993E+002, 1.6978085E+002, 2.3924216E+002, 2.0181116E+002
 9.0036517E+000, 1.8572872E+002, 2.2895420E+002, 3.4129859E+002, 1.7907069E+002
 1.0004495E+001, 2.0119249E+002, 2.0967367E+002, 3.2815621E+002, 1.9198663E+002
 1.1006120E+001, 1.7256622E+002, 2.1007963E+002, 3.0008515E+002, 1.9476537E+002
 1.2008955E+001, 3.4014657E+002, 2.1968105E+002, 2.8674325E+002, 2.3894301E+002
 1.3005610E+001, 3.1743149E+002, 3.1839237E+002, 2.9308034E+002, 2.5175346E+002
 1.4009226E+001, 2.3524371E+002, 2.6110071E+002, 3.0259463E+002, 2.6095472E+002
 1.5000886E+001, 2.8371403E+002, 2.7919584E+002, 3.3287231E+002, 2.6847185E+002
 1.6003402E+001, 4.7225392E+002, 4.5424011E+002, 3.4125058E+002, 2.7523699E+002
 1.7012613E+001, 3.5644576E+002, 3.4179894E+002, 3.0835374E+002, 2.4138861E+002
 1.8010717E+001, 3.1903561E+002, 3.1066070E+002, 3.1499369E+002, 2.1901055E+002
 1.9000274E+001, 2.4128223E+002, 2.5798857E+002, 2.8462887E+002, 2.7886402E+002
 2.0005206E+001, 3.4873622E+002, 3.2445020E+002, 3.1566638E+002, 2.8637720E+002
 2.1000072E+001, 3.1279756E+002, 3.2362644E+002, 3.5717097E+002, 2.7505248E+002
 2.2007658E+001, 4.1253365E+002, 3.4181354E+002, 2.9761268E+002, 2.7481637E+002
 2.3002049E+001, 3.9075515E+002, 3.4746521E+002, 2.9936420E+002, 3.1272387E+002
 2.4006966E+001, 3.6734276E+002, 3.5431131E+002, 3.3543859E+002, 2.9697937E+002
 2.5009155E+001, 2.6656048E+002, 2.7631304E+002, 3.3548034E+002, 2.9061732E+002
 2.6007194E+001, 2.9039409E+002, 3.2796644E+002, 2.9342284E+002, 3.4132030E+002
 2.7003001E+001, 2.6434834E+002, 2.9094879E+002, 3.2681242E+002, 3.5101788E+002
 2.8009158E+001, 3.8159596E+002, 3.1351330E+002, 3.0036763E+002, 3.3068013E+002
 2.9010410E+001, 4.1518061E+002, 3.4633462E+002, 3.0858995E+002, 3.0828554E+002
 3.0012749E+001, 4.9451418E+002, 4.2792684E+002, 3.3323174E+002, 3.1802614E+002
 3.1012028E+001, 3.6542285E+002, 3.3140134E+002, 3.3715348E+002, 2.9446528E+002
 3.2005243E+001, 3.1941314E+002, 3.1332985E+002, 3.0835638E+002, 3.1282755E+002
 3.3006404E+001, 3.8142130E+002, 3.8274847E+002, 3.1411267E+002, 3.0332376E+002
 3.4009404E+001, 3.8009206E+002, 3.0290898E+002, 3.1155051E+002, 3.0715255E+002
 3.5010059E+001, 3.7547608E+002, 3.1221058E+002, 3.0237994E+002, 2.6141432E+002
 3.6006974E+001, 2.9455466E+002, 3.3108323E+002, 3.3212724E+002, 2.7921938E+002
 3.7000979E+001, 3.5824602E+002, 3.1755371E+002, 3.2018966E+002, 2.7755035E+002
 3.8009550E+001, 2.7157765E+002, 3.0209906E+002, 3.3947113E+002, 2.7516929E+002
 3.9006966E+001, 3.6876493E+002, 3.4782139E+002, 3.8357183E+002, 2.7917716E+002
 4.0009272E+001, 3.2808515E+002, 3.7034678E+002, 3.7090953E+002, 3.0452014E+002
 4.1004027E+001, 3.0910158E+002, 3.0697399E+002, 3.3698608E+002, 3.0015988E+002
 4.2004695E+001, 2.4057972E+002, 2.7686705E+002, 2.9791141E+002, 2.9414042E+002
 4.3009324E+001, 3.3380547E+002, 3.1943051E+002, 2.9774232E+002, 3.2274229E+002
 4.4009101E+001, 2.5406837E+002, 2.8327768E+002, 3.1808768E+002, 3.0608392E+002
 4.5010691E+001, 2.7369555E+002, 2.5238729E+002, 2.8580125E+002, 3.3127179E+002
 4.6003957E+001, 2.7884719E+002, 2.8238292E+002, 2.8652470E+002, 3.7217519E+002
 4.7003291E+001, 2.9201497E+002, 2.8183731E+002, 3.3794556E+002, 3.3275531E+002
 4.8007520E+001, 3.1886352E+002, 2.5736286E+002, 3.1971160E+002, 3.0597221E+002
 4.9003290E+001, 5.3759976E+002, 4.3611855E+002, 3.1540302E+002, 3.0791053E+002
 5.0002889E+001, 4.4700820E+002, 3.6577963E+002, 3.3421678E+002, 2.9249651E+002
 5.1007303E+001, 5.1018325E+002, 3.6525893E+002, 3.2260483E+002, 2.8529357E+002
 5.2010694E+001, 4.7163251E+002, 3.8440476E+002, 3.2978795E+002, 2.9827853E+002
 5.3014163E+001, 3.7860727E+002, 3.2851725E+002, 3.4288767E+002, 2.6619355E+002
 5.4011495E+001, 3.7222000E+002, 3.1612070E+002, 3.1322583E+002, 2.5315386E+002
 5.5009561E+001, 3.4131940E+002, 3.0653462E+002, 2.7741661E+002, 2.4368928E+002
 5.6012096E+001, 4.0746392E+002, 3.2507081E+002, 3.0166111E+002, 2.6703975E+002
 5.7007956E+001, 4.0623415E+002, 3.3930042E+002, 3.4257387E+002, 2.8159196E+002
 5.8002856E+001, 4.0561038E+002, 3.3674689E+002, 3.1332465E+002, 2.8390882E+002
 5.9013190E+001, 2.7552614E+002, 2.5734592E+002, 3.5262518E+002, 2.5406955E+002
 6.0000000E+001, 3.4220573E+002, 3.3922513E+002, 3.1386605E+002, 2.8525887E+002